mode,z_mm,phi_deg,ux,uy,uz,solution,linear_solver,tolerance,mesh_elements,dofs,Fx_N,Fx_mN,Fx_mN_from_N,status,reproducibility,mesh_validation
ON,140.00000000,120.00000000,0.500000000000,-0.433012701892,-0.750000000000,sol51,pardiso,stol=1e-6,60846,NA,-0.00125478797292,-1.25478797292,-1.25478797292,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,130.00000000,0.500000000000,-0.556670399226,-0.663413948169,sol52,pardiso,stol=1e-6,60846,NA,-0.00125797763743,-1.25797763743,-1.25797763743,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,140.00000000,0.500000000000,-0.663413948169,-0.556670399226,sol53,pardiso,stol=1e-6,60846,NA,-0.00126191323030,-1.26191323030,-1.26191323030,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,150.00000000,0.500000000000,-0.750000000000,-0.433012701892,sol54,pardiso,stol=1e-6,60846,NA,-0.00126647516733,-1.26647516733,-1.26647516733,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,160.00000000,0.500000000000,-0.813797681349,-0.296198132726,sol55,pardiso,stol=1e-6,60846,NA,-0.00127152483435,-1.27152483435,-1.27152483435,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,170.00000000,0.500000000000,-0.852868531952,-0.150383733180,sol56,pardiso,stol=1e-6,60846,NA,-0.00127690879703,-1.27690879703,-1.27690879703,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,180.00000000,0.500000000000,-0.866025403784,-1.06057523872e-16,sol57,pardiso,stol=1e-6,60846,NA,-0.00128246346588,-1.28246346588,-1.28246346588,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,190.00000000,0.500000000000,-0.852868531952,0.150383733180,sol58,pardiso,stol=1e-6,60846,NA,-0.00128802006432,-1.28802006432,-1.28802006432,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,200.00000000,0.500000000000,-0.813797681349,0.296198132726,sol59,pardiso,stol=1e-6,60846,NA,-0.00129340975969,-1.29340975969,-1.29340975969,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,210.00000000,0.500000000000,-0.750000000000,0.433012701892,sol60,pardiso,stol=1e-6,60846,NA,-0.00129846879004,-1.29846879004,-1.29846879004,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,220.00000000,0.500000000000,-0.663413948169,0.556670399226,sol61,pardiso,stol=1e-6,60846,NA,-0.00130304344206,-1.30304344206,-1.30304344206,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,230.00000000,0.500000000000,-0.556670399226,0.663413948169,sol62,pardiso,stol=1e-6,60846,NA,-0.00130699472005,-1.30699472005,-1.30699472005,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,240.00000000,0.500000000000,-0.433012701892,0.750000000000,sol63,pardiso,stol=1e-6,60846,NA,-0.00131020256962,-1.31020256962,-1.31020256962,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,250.00000000,0.500000000000,-0.296198132726,0.813797681349,sol64,pardiso,stol=1e-6,60846,NA,-0.00131256952427,-1.31256952427,-1.31256952427,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,260.00000000,0.500000000000,-0.150383733180,0.852868531952,sol65,pardiso,stol=1e-6,60846,NA,-0.00131402366754,-1.31402366754,-1.31402366754,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,270.00000000,0.500000000000,-1.59086285809e-16,0.866025403784,sol66,pardiso,stol=1e-6,60846,NA,-0.00131452081729,-1.31452081729,-1.31452081729,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,280.00000000,0.500000000000,0.150383733180,0.852868531952,sol67,pardiso,stol=1e-6,60846,NA,-0.00131404586752,-1.31404586752,-1.31404586752,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,290.00000000,0.500000000000,0.296198132726,0.813797681349,sol68,pardiso,stol=1e-6,60846,NA,-0.00131261324843,-1.31261324843,-1.31261324843,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,300.00000000,0.500000000000,0.433012701892,0.750000000000,sol69,pardiso,stol=1e-6,60846,NA,-0.00131026648834,-1.31026648834,-1.31026648834,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,310.00000000,0.500000000000,0.556670399226,0.663413948169,sol70,pardiso,stol=1e-6,60846,NA,-0.00130707688891,-1.30707688891,-1.30707688891,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,320.00000000,0.500000000000,0.663413948169,0.556670399226,sol71,pardiso,stol=1e-6,60846,NA,-0.00130314136187,-1.30314136187,-1.30314136187,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,330.00000000,0.500000000000,0.750000000000,0.433012701892,sol72,pardiso,stol=1e-6,60846,NA,-0.00129857948354,-1.29857948354,-1.29857948354,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,340.00000000,0.500000000000,0.813797681349,0.296198132726,sol73,pardiso,stol=1e-6,60846,NA,-0.00129352986114,-1.29352986114,-1.29352986114,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,350.00000000,0.500000000000,0.852868531952,0.150383733180,sol74,pardiso,stol=1e-6,60846,NA,-0.00128814592318,-1.28814592318,-1.28814592318,SUCCESS,UNKNOWN,UNKNOWN
ON,140.00000000,360.00000000,0.500000000000,0.866025403784,2.12115047745e-16,sol75,pardiso,stol=1e-6,60846,NA,-0.00128259125687,-1.28259125687,-1.28259125687,SUCCESS,UNKNOWN,UNKNOWN
AIR,140.00000000,0.00000000,0.500000000000,0.866025403784,-0.00000000000,sol76,pardiso,stol=1e-6,60846,NA,-0.00126371986894,-1.26371986894,-1.26371986894,SUCCESS,UNKNOWN,UNKNOWN
