z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
108.000000000,-20.0000000000,36.0000000000,-0.0781216578110,-0.206344132274,-0.108884826049,-0.128222474463,0.0974593062249,-0.0307631682383,-0.0314533125625,-0.0333232192078,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,39.6000000000,-0.0781216578110,-0.206344132274,-0.103805770288,-0.128222474463,0.102538361986,-0.0256841124768,-0.0299322623171,-0.0398883056039,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,43.2000000000,-0.0781216578110,-0.206344132274,-0.0989845862028,-0.128222474463,0.107359546071,-0.0208629283918,-0.0282933608686,-0.0461209309965,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,46.8000000000,-0.0781216578110,-0.206344132274,-0.0944403119223,-0.128222474463,0.111903820352,-0.0163186541113,-0.0265430771157,-0.0519965272762,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,50.4000000000,-0.0781216578110,-0.206344132274,-0.0901908912050,-0.128222474463,0.116153241069,-0.0120692333940,-0.0246883178015,-0.0574919412624,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,54.0000000000,-0.0781216578110,-0.206344132274,-0.0862531053740,-0.128222474463,0.120091026900,-0.00813144756298,-0.0227364008521,-0.0625855150669,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,57.6000000000,-0.0781216578110,-0.206344132274,-0.0826425047311,-0.128222474463,0.123701627543,-0.00452084692011,-0.0206950260922,-0.0672571789670,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,61.2000000000,-0.0781216578110,-0.206344132274,-0.0793733465477,-0.128222474463,0.126970785726,-0.00125168873665,-0.0185722448245,-0.0714885318458,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,64.8000000000,-0.0781216578110,-0.206344132274,-0.0764585456775,-0.128222474463,0.129885586597,0.00166311213354,-0.0163764294780,-0.0752628881191,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,68.4000000000,-0.0781216578110,-0.206344132274,-0.0739096093383,-0.128222474463,0.132434522936,0.00421204847269,-0.0141162379613,-0.0785653937384,871851,1163671,0.213700000000,true,SUCCESS
108.000000000,-20.0000000000,72.0000000000,-0.0781216578110,-0.206344132274,-0.0717366071688,-0.128222474463,0.134607525105,0.00638505064221,-0.0118005825754,-0.0813830284857,871851,1163671,0.213700000000,true,SUCCESS
