"z_sphere_mm","phi_deg","mesh_level","Fx_B0_raw_mN","Fx_B1_raw_mN","Fx_B2_raw_mN","Fx_hold_corr_mN","DeltaFx_ball_mN","Fx_total_corr_mN","Fy_total_corr_mN","Fz_total_corr_mN","elements","DOF","min_quality","same_mesh_verified","release_candidate","status"
"110.000000000","45.0000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","0.0421423185408","-0.128084131915","0.0709148553923","-0.0571692765231","-0.0297513540822","-0.0939036273512","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","90.0000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","0.0715809541927","-0.128084131915","0.100353491044","-0.0277306408712","-0.000255625373821","-0.132754028451","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","135.000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","0.0422339938103","-0.128084131915","0.0710065306619","-0.0570776012536","0.0293905547150","-0.0938275996001","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","180.000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","-0.0286981951865","-0.128084131915","7.43416650509e-05","-0.128009790250","0.0418311450418","0.000102449264238","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","225.000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","-0.0996552012848","-0.128084131915","-0.0708826644332","-0.198966796349","0.0297683686482","0.0940427643792","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","270.000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","-0.129080691061","-0.128084131915","-0.100308154209","-0.228392286125","0.000258147455519","0.132935032197","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","315.000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","-0.0997469060018","-0.128084131915","-0.0709743691503","-0.199058501066","-0.0294025835109","0.0939670785138","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"110.000000000","360.000000000","LOCAL_M03","0.0993115950639","-0.0287725368515","-0.0288278636451","-0.128084131915","-5.53267935251e-05","-0.128139458709","-0.0418286812839","-4.83272059999e-06","872645","1164684","0.218300000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","0.00000000000","LOCAL_M03","0.181354957083","0.0532090145452","0.0530956625997","-0.128145942537","-0.000113351945566","-0.128259294483","-0.0340242321757","4.80306381008e-05","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","45.0000000000","LOCAL_M03","0.181354957083","0.0532090145452","0.114100125928","-0.128145942537","0.0608911113823","-0.0672548311550","-0.0242941872292","-0.0756604578085","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","90.0000000000","LOCAL_M03","0.181354957083","0.0532090145452","0.139442227551","-0.128145942537","0.0862332130059","-0.0419127295315","-0.000369501193259","-0.107018148500","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","135.000000000","LOCAL_M03","0.181354957083","0.0532090145452","0.114270930224","-0.128145942537","0.0610619156783","-0.0670840268590","0.0237411768767","-0.0756756228161","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","180.000000000","LOCAL_M03","0.181354957083","0.0532090145452","0.0533367065163","-0.128145942537","0.000127691971114","-0.128018250566","0.0339215690874","2.52155899612e-05","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","225.000000000","LOCAL_M03","0.181354957083","0.0532090145452","-0.00766002442316","-0.128145942537","-0.0608690389684","-0.189014981506","0.0242020321375","0.0757593364121","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","270.000000000","LOCAL_M03","0.181354957083","0.0532090145452","-0.0329936726040","-0.128145942537","-0.0862026871492","-0.214348629687","0.000268708660302","0.107144594654","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","315.000000000","LOCAL_M03","0.181354957083","0.0532090145452","-0.00783010775683","-0.128145942537","-0.0610391223021","-0.189185064839","-0.0238524774190","0.0757764370831","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
"115.000000000","360.000000000","LOCAL_M03","0.181354957083","0.0532090145452","0.0530956627430","-0.128145942537","-0.000113351802257","-0.128259294340","-0.0340242321497","4.80297947038e-05","872902","1165027","0.220200000000","true","MAGNETICALLY_HELD","SUCCESS"
