z_sphere_mm,alpha_deg,phi_deg,Fx_B0_raw_mN,Fx_B1_raw_mN,Fx_B2_raw_mN,Fx_hold_corr_mN,DeltaFx_ball_mN,Fx_total_corr_mN,Fy_total_corr_mN,Fz_total_corr_mN,elements,DOF,min_quality,same_mesh_verified,status
94.0000000000,-20.0000000000,262.800000000,-0.107406028145,-0.235458704922,-0.316676104499,-0.128052676776,-0.0812173995773,-0.209270076354,0.00993767976929,0.317911045394,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,266.400000000,-0.107406028145,-0.235458704922,-0.317557173288,-0.128052676776,-0.0820984683662,-0.210151145143,0.00500751779407,0.319441008021,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,270.000000000,-0.107406028145,-0.235458704922,-0.317838369046,-0.128052676776,-0.0823796641239,-0.210432340900,5.76000469055e-05,0.319953451580,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,273.600000000,-0.107406028145,-0.235458704922,-0.317518585055,-0.128052676776,-0.0820598801338,-0.210112556910,-0.00489250513358,0.319446348923,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,277.200000000,-0.107406028145,-0.235458704922,-0.316599081848,-0.128052676776,-0.0811403769261,-0.209193053702,-0.00982322865809,0.317921708680,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,280.800000000,-0.107406028145,-0.235458704922,-0.315083479537,-0.128052676776,-0.0796247746150,-0.207677451391,-0.0147150790953,0.315385556963,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,284.400000000,-0.107406028145,-0.235458704922,-0.312977750783,-0.128052676776,-0.0775190458609,-0.205571722637,-0.0195487183580,0.311847940354,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,288.000000000,-0.107406028145,-0.235458704922,-0.310290190318,-0.128052676776,-0.0748314853961,-0.202884162172,-0.0243050402619,0.307322859009,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,291.600000000,-0.107406028145,-0.235458704922,-0.307031385381,-0.128052676776,-0.0715726804594,-0.199625357236,-0.0289652456771,0.301828221867,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,295.200000000,-0.107406028145,-0.235458704922,-0.303214175231,-0.128052676776,-0.0677554703093,-0.195808147086,-0.0335109169407,0.295385778912,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,298.800000000,-0.107406028145,-0.235458704922,-0.298853598801,-0.128052676776,-0.0633948938789,-0.191447570655,-0.0379240914273,0.288021026688,872415,1164430,0.220600000000,true,SUCCESS
94.0000000000,-20.0000000000,302.400000000,-0.107406028145,-0.235458704922,-0.293966835172,-0.128052676776,-0.0585081302501,-0.186560807026,-0.0421873329167,0.279763104379,872415,1164430,0.220600000000,true,SUCCESS
