z_sphere_mm,mode,phi_deg,Fx_raw_mN,Fy_raw_mN,Fz_raw_mN,Fx_self_corr_mN,Fx_hold_corr_mN,Fx_total_corr_mN,DeltaFx_ball_mN,elements,DOF,min_quality,status
100.000000000,B2,45.0000000000,0.336606648797,0.379049104692,-0.348054456592,0.477937003482,-0.124379774675,-0.141330354685,-0.0169505800101,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,90.0000000000,0.365946124629,0.433802862123,-0.407591679625,0.477937003482,-0.124379774675,-0.111990878853,0.0123888958222,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,135.000000000,0.336369105167,0.488528690648,-0.348062059616,0.477937003482,-0.124379774675,-0.141567898316,-0.0171881236405,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,180.000000000,0.265219295628,0.511185500982,-0.204286568065,0.477937003482,-0.124379774675,-0.212717707854,-0.0883379331788,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,225.000000000,0.194192408644,0.488483451242,-0.0604382154767,0.477937003482,-0.124379774675,-0.283744594838,-0.159364820163,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,270.000000000,0.164877142926,0.433704535505,-0.000832087913936,0.477937003482,-0.124379774675,-0.313059860556,-0.188680085881,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,315.000000000,0.194428864513,0.378955289143,-0.0604333700486,0.477937003482,-0.124379774675,-0.283508138969,-0.159128364294,61180,82190,0.222600000000,SUCCESS
100.000000000,B2,360.000000000,0.265554463992,0.356323637081,-0.204277766425,0.477937003482,-0.124379774675,-0.212382539490,-0.0880027648150,61180,82190,0.222600000000,SUCCESS
90.0000000000,B0,0,1.69345122124,0.232507027307,0.494604510010,0.00000000000,,,,61018,81965,0.222600000000,SUCCESS
90.0000000000,B1,0,1.56835833124,0.232574055091,0.494548031771,1.69345122124,-0.125092890005,,,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,0.00000000000,1.44471716752,0.141596251617,0.399036321231,1.69345122124,-0.125092890005,-0.248734053720,-0.123641163716,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,45.0000000000,1.55004128570,0.168286878011,0.194215242532,1.69345122124,-0.125092890005,-0.143409935547,-0.0183170455427,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,90.0000000000,1.59359162530,0.232512151353,0.109423932797,1.69345122124,-0.125092890005,-0.0998595959454,0.0252332940591,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,135.000000000,1.54981517583,0.296683703599,0.194224710873,1.69345122124,-0.125092890005,-0.143636045410,-0.0185431554059,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,180.000000000,1.44439551693,0.323247517016,0.399046702402,1.69345122124,-0.125092890005,-0.249055704317,-0.123962814313,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,225.000000000,1.33912786492,0.296608945056,0.604015251147,1.69345122124,-0.125092890005,-0.354323356329,-0.229230466325,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,270.000000000,1.29563665531,0.232335693724,0.688958283163,1.69345122124,-0.125092890005,-0.397814565938,-0.272721675934,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,315.000000000,1.33935663782,0.168112087428,0.604010037870,1.69345122124,-0.125092890005,-0.354094583429,-0.229001693425,61018,81965,0.222600000000,SUCCESS
90.0000000000,B2,360.000000000,1.44471716750,0.141596251626,0.399036321306,1.69345122124,-0.125092890005,-0.248734053740,-0.123641163736,61018,81965,0.222600000000,SUCCESS
80.0000000000,B0,0,0.750859481100,-0.980106003041,-0.912682980608,0.00000000000,,,,60758,81641,0.222600000000,SUCCESS
80.0000000000,B1,0,0.626645006077,-0.980026961408,-0.912647227354,0.750859481100,-0.124214475023,,,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,0.00000000000,0.415381012368,-1.15664460208,-1.01939832385,0.750859481100,-0.124214475023,-0.335478468732,-0.211263993709,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,45.0000000000,0.537623134768,-1.10441702095,-1.38548515049,0.750859481100,-0.124214475023,-0.213236346331,-0.0890218713086,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,90.0000000000,0.588304363912,-0.979193990846,-1.53669251929,0.750859481100,-0.124214475023,-0.162555117187,-0.0383406421645,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,135.000000000,0.537622910930,-0.854233981197,-1.38469880651,0.750859481100,-0.124214475023,-0.213236570170,-0.0890220951472,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,180.000000000,0.415382809264,-0.802642990656,-1.01828442639,0.750859481100,-0.124214475023,-0.335476671836,-0.211262196813,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,225.000000000,0.293304064771,-0.854737805089,-0.651836351047,0.750859481100,-0.124214475023,-0.457555416329,-0.333340941306,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,270.000000000,0.242783224578,-0.980095868929,-0.500270334027,0.750859481100,-0.124214475023,-0.508076256521,-0.383861781499,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,315.000000000,0.293301299606,-1.10518864527,-0.652625295234,0.750859481100,-0.124214475023,-0.457558181493,-0.333343706471,60758,81641,0.222600000000,SUCCESS
80.0000000000,B2,360.000000000,0.415381012372,-1.15664460208,-1.01939832387,0.750859481100,-0.124214475023,-0.335478468728,-0.211263993705,60758,81641,0.222600000000,SUCCESS
